"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","397","Проверка секции FAQ","tests","Wed Jun 04 19:08:18 MSK 2025","passed","Wed Jun 04 19:08:18 MSK 2025","TestFAQ","test_faq","",""
"","380","Проверка секции FAQ","tests","Wed Jun 04 19:07:55 MSK 2025","passed","Wed Jun 04 19:07:56 MSK 2025","TestFAQ","test_faq","",""
"","371","Проверка секции FAQ","tests","Wed Jun 04 19:08:07 MSK 2025","passed","Wed Jun 04 19:08:07 MSK 2025","TestFAQ","test_faq","",""
"","3702","Проверка возможности оформления заказа через кнопку 'Заказать' в заголовке страницы","tests","Wed Jun 04 19:09:55 MSK 2025","passed","Wed Jun 04 19:09:59 MSK 2025","TestOrder","test_order","",""
"","386","Проверка секции FAQ","tests","Wed Jun 04 19:08:29 MSK 2025","passed","Wed Jun 04 19:08:30 MSK 2025","TestFAQ","test_faq","",""
"","3756","Проверка возможности оформления заказа через кнопку 'Заказать' внизу страницы","tests","Wed Jun 04 19:10:10 MSK 2025","passed","Wed Jun 04 19:10:14 MSK 2025","TestOrder","test_order","",""
"","3761","Проверка возможности оформления заказа через кнопку 'Заказать' в заголовке страницы","tests","Wed Jun 04 19:09:40 MSK 2025","passed","Wed Jun 04 19:09:44 MSK 2025","TestOrder","test_order","",""
"","370","Проверка секции FAQ","tests","Wed Jun 04 19:07:44 MSK 2025","passed","Wed Jun 04 19:07:44 MSK 2025","TestFAQ","test_faq","",""
"","383","Проверка секции FAQ","tests","Wed Jun 04 19:08:53 MSK 2025","passed","Wed Jun 04 19:08:53 MSK 2025","TestFAQ","test_faq","",""
"","3742","Проверка возможности оформления заказа через кнопку 'Заказать' внизу страницы","tests","Wed Jun 04 19:10:25 MSK 2025","passed","Wed Jun 04 19:10:29 MSK 2025","TestOrder","test_order","",""
"","574","Проверка клика на логотип Самокат","tests","Wed Jun 04 19:09:29 MSK 2025","passed","Wed Jun 04 19:09:29 MSK 2025","TestLogos","test_logos","",""
"","373","Проверка секции FAQ","tests","Wed Jun 04 19:09:04 MSK 2025","passed","Wed Jun 04 19:09:04 MSK 2025","TestFAQ","test_faq","",""
"","395","Проверка секции FAQ","tests","Wed Jun 04 19:08:41 MSK 2025","passed","Wed Jun 04 19:08:41 MSK 2025","TestFAQ","test_faq","",""
"","1664","Проверка клика на логотип Яндекс","tests","Wed Jun 04 19:09:16 MSK 2025","passed","Wed Jun 04 19:09:18 MSK 2025","TestLogos","test_logos","",""
